Question,Answer
What factors may contribute to asthma?,"Factors that can contribute to asthma or airway hyperreactivity may include any of the following:

1. Environmental allergens (eg, house dust mites; animal allergens, especially cat and dog; cockroach allergens; and fungi)

2. Viral respiratory tract infections

3 Exercise, hyperventilation

4. Gastroesophageal reflux disease

5. Chronic sinusitis or rhinitis

6. Aspirin or nonsteroidal anti-inflammatory drug (NSAID) hypersensitivity, sulfite sensitivity

7. Use of beta-adrenergic receptor blockers (including ophthalmic preparations)

8. Obesity

9. Environmental pollutants, tobacco smoke

10. Occupational exposure

11. Irritants (eg, household sprays, paint fumes)

12. Various high- and low-molecular-weight compounds (eg, insects, plants, latex, gums, diisocyanates, anhydrides, wood dust, and fluxes; associated with occupational asthma)

13. Emotional factors or stress

14. Perinatal factors (prematurity and increased maternal age; maternal smoking and prenatal exposure to tobacco smoke; breastfeeding has not been definitely shown to be protective)"
What is Aspirin-induced asthma ?,"The triad of asthma, aspirin sensitivity, and nasal polyps affects 5-10% of patients with asthma. Most patients experience symptoms during the third to fourth decade. A single dose can provoke an acute asthma exacerbation, accompanied by rhinorrhea, conjunctival irritation, and flushing of the head and neck. It can also occur with other nonsteroidal anti-inflammatory drugs and is caused by an increase in eosinophils and cysteinyl leukotrienes after exposure. 

A study by Beasley et al demonstrated some epidemiological evidence that exposure to acetaminophen is associated with an increased risk of asthma. However, no clinical studies have directly linked asthma symptoms with acetaminophen use."
What are the treatment options for aspirin-induced asthma?,"Primary treatment is avoidance of these medications, but leukotriene antagonists have shown promise in treatment, allowing these patients to take daily aspirin for cardiac or rheumatic disease.  Aspirin desensitization has also been reported to decrease sinus symptoms, allowing daily dosing of aspirin."
What is the role of gastroesophageal reflux (GERD) in asthma?,"The presence of acid in the distal esophagus, mediated via vagal or other neural reflexes, can significantly increase airway resistance and airway reactivity. Patients with asthma are 3 times more likely to also have GERD. Some people with asthma have significant gastroesophageal reflux without esophageal symptoms. Gastroesophageal reflux was found to be a definite asthma-causing factor (defined by a favorable asthma response to medical antireflux therapy) in 64% of patients; clinically silent reflux was present in 24% of all patients."
What is the role of occupational factors in the development of asthma?,"Occupational factors are associated with 10-15% of adult asthma cases. More than 300 specific occupational agents have been associated with asthma. High-risk jobs include farming, painting, janitorial work, and plastics manufacturing. Given the prevalence of work-related asthma, the American College of Chest Physicians (ACCP) supports consideration of work-related asthma in all patients presenting with new-onset or worsening asthma. An ACCP consensus statement defines work-related asthmas as including occupational asthma (ie, asthma induced by sensitizer or irritant work exposures) and work-exacerbated asthma (ie, preexisting or concurrent asthma worsened by work factors). 

Two types of occupational asthma are recognized: immune-related and non-immune-related. Immune-mediated asthma has a latency of months to years after exposure. Non-immune-mediated asthma, or irritant-induced asthma (reactive airway dysfunction syndrome), has no latency period and may occur within 24 hours after an accidental exposure to high concentrations of respiratory irritants. Pay careful attention to the patient's occupational history. Those with a history of asthma who report worsening of symptoms during the week and improvement during the weekends should be evaluated for occupational exposure. Peak-flow monitoring during work (optimally, at least 4 times a day) for at least 2 weeks and a similar period away from work is one recommended method to establish the diagnosis."
What are the features asthma types associated with occupational factors?,"Evidence suggests that rhinovirus illness during infancy is a significant risk factor for the development of wheezing in preschool children and a frequent trigger of wheezing illnesses in children with asthma.  Human rhinovirus C (HRVC) is a newly identified genotype of HRV found in patients with respiratory tract infections. A study of children with acute asthma who presented to the emergency department found HRVC present in the majority of patients. The presence of HRVC was also associated with more severe asthma. 

Approximately 80-85% of childhood asthma episodes are associated with prior viral exposure. Prior childhood pneumonia due to infection by respiratory syncytial virus, Mycoplasma pneumoniae, and/or Chlamydia species was found in more than 50% of a small sample of children aged 7-9 years who later had asthma. Treatment with antibiotics appropriate for these organisms improves the clinical signs and symptoms of asthma."
How does sinusitis exacerbate symptoms of asthma?,"Of patients with asthma, 50% have concurrent sinus disease. Sinusitis is the most important exacerbating factor for asthma symptoms. Either acute infectious sinus disease or chronic inflammation may contribute to worsening airway symptoms. Treatment of nasal and sinus inflammation reduces airway reactivity. Treatment of acute sinusitis requires at least 10 days of antibiotics to improve asthma symptoms."
What is exercise-induced asthma (EIA)?,"Exercise-induced asthma (EIA), or exercise-induced bronchoconstriction (EIB), is an asthma variant defined as a condition in which exercise or vigorous physical activity triggers acute bronchoconstriction in persons with heightened airway reactivity. It is observed primarily in persons who have asthma (exercise-induced bronchoconstriction in asthmatic persons) but can also be found in patients with normal resting spirometry findings with atopy, allergic rhinitis, or cystic fibrosis and even in healthy persons, many of whom are elite or cold weather athletes (exercise-induced bronchoconstriction in athletes). Exercise-induced bronchoconstriction is often a neglected diagnosis, and the underlying asthma may be silent in as many as 50% of patients, except during exercise. "
What factors contribute to exercise-induced bronchoconstriction (EIB) symptoms?,"Exercise-induced asthma (EIA), or exercise-induced bronchoconstriction (EIB), is an asthma variant defined as a condition in which exercise or vigorous physical activity triggers acute bronchoconstriction in persons with heightened airway reactivity. It is observed primarily in persons who have asthma (exercise-induced bronchoconstriction in asthmatic persons) but can also be found in patients with normal resting spirometry findings with atopy, allergic rhinitis, or cystic fibrosis and even in healthy persons, many of whom are elite or cold weather athletes (exercise-induced bronchoconstriction in athletes). Exercise-induced bronchoconstriction is often a neglected diagnosis, and the underlying asthma may be silent in as many as 50% of patients, except during exercise. 

The pathogenesis of exercise-induced bronchoconstriction is controversial. The disease may be mediated by water loss from the airway, heat loss from the airway, or a combination of both. The upper airway is designed to keep inspired air at 100% humidity and body temperature at 37°C (98.6°F). The nose is unable to condition the increased amount of air required for exercise, particularly in athletes who breathe through their mouths. The abnormal heat and water fluxes in the bronchial tree result in bronchoconstriction, occurring within minutes of completing exercise. Results from bronchoalveolar lavage studies have not demonstrated an increase in inflammatory mediators. These patients generally develop a refractory period, during which a second exercise challenge does not cause a significant degree of bronchoconstriction.

Factors that contribute to exercise-induced bronchoconstriction symptoms (in both persons with asthma and athletes) are: Exposure to cold or dry air, Environmental pollutants (eg, sulfur, ozone), level of bronchial hyperreactivity, Chronicity of asthma and symptomatic control, Duration and intensity of exercise, Allergen exposure in atopic individuals,Coexisting respiratory infection.
The assessment and diagnosis of exercise-induced bronchoconstriction is made more often in children and young adults than in older adults and is related to high levels of physical activity. Exercise-induced bronchoconstriction can be observed in persons of any age based on the level of underlying airway reactivity and the level of physical exertion."
"
What role do genetics play in the susceptibility to asthma?","Research on genetic mutations casts further light on the synergistic nature of multiple mutations in the pathophysiology of asthma. Polymorphisms in the gene that encodes platelet-activating factor hydrolase, an intrinsic neutralizing agent of platelet-activating factor in most humans, may play a role in susceptibility to asthma and asthma severity. 

Evidence suggests that the prevalence of asthma is reduced in association with certain infections (Mycobacterium tuberculosis, measles, or hepatitis A); rural living; exposure to other children (eg, presence of older siblings and early enrollment in childcare); and less frequent use of antibiotics. Furthermore, the absence of these lifestyle events is associated with the persistence of a Th2 cytokine pattern. Under these conditions, the genetic background of the child, with a cytokine imbalance toward Th2, sets the stage to promote the production of immunoglobulin E (IgE) antibody to key environmental antigens (eg, dust mites, cockroaches, Alternaria, and possibly cats). Therefore, a gene-by-environment interaction occurs in which the susceptible host is exposed to environmental factors that are capable of generating IgE, and sensitization occurs.

A reciprocal interaction is apparent between the 2 subpopulations, in which Th1 cytokines can inhibit Th2 generation and vice versa. Allergic inflammation may be the result of an excessive expression of Th2 cytokines. Alternatively, studies suggest the possibility that the loss of normal immune balance arises from a cytokine dysregulation in which Th1 activity in asthma is diminished. 

In addition, some studies highlight the importance of genotypes in children's susceptibility to asthma and response to specific antiasthma medications"
How is obesity associated with a child's risk of asthma?,"A study by Cottrell et al explored the relationship between asthma, obesity, and abnormal lipid and glucose metabolism. The study found that community-based data linked asthma, body mass, and metabolic variables in children. Specifically, these findings described a statistically significant association between asthma and abnormal lipid and glucose metabolism beyond body mass association. Evidence is accumulating that individuals with a high body mass index have worse asthma control and sustained weight loss improves asthma control. 

Accelerated weight gain in early infancy is associated with increased risks of asthma symptoms according to one study of preschool children."
What is the worldwide prevalence of asthma?,"Asthma affects 5-10% of the population or an estimated 23.4 million persons, including 7 million children. The overall prevalence rate of exercise-induced bronchospasm is 3-10% of the general population if persons who do not have asthma or allergy are excluded, but the rate increases to 12-15% of the general population if patients with underlying asthma are included. Asthma affects an estimated 300 million individuals worldwide. Annually, the World Health Organization (WHO) has estimated that 15 million disability-adjusted life-years are lost and 250,000 asthma deaths are reported worldwide. "
How do race and environmental factors play a role in the incidence of asthma?,"In the United States, asthma prevalence, especially morbidity and mortality, is higher in blacks than in whites. Although genetic factors are of major importance in determining a predisposition to the development of asthma, environmental factors play a greater role than racial factors in asthma onset. A national concern is that some of the increased morbidity is due to differences in asthma treatment afforded certain minority groups. Larger asthma-associated lung function deficits are reported in Hispanics, especially females."
"Which countries have the highest prevalence of asthma, and what factors are thought to contribute?","Asthma is common in industrialized nations such as Canada, England, Australia, Germany, and New Zealand, where much of the asthma data have been collected. The prevalence rate of severe asthma in industrialized countries ranges from 2-10%. Trends suggest an increase in both the prevalence and morbidity of asthma, especially in children younger than 6 years. Factors that have been implicated include urbanization, air pollution, passive smoking, and change in exposure to environmental allergens."
"Is asthma more common in males or females?
","
Asthma predominantly occurs in boys in childhood, with a male-to-female ratio of 2:1 until puberty, when the male-to-female ratio becomes 1:1. Asthma prevalence is greater in females after puberty, and the majority of adult-onset cases diagnosed in persons older than 40 years occur in females. Boys are more likely than girls to experience a decrease in symptoms by late adolescence."
"Which age groups have the highest prevalence of asthma?
",Asthma prevalence is increased in very young persons and very old persons because of airway responsiveness and lower levels of lung function. Two thirds of all asthma cases are diagnosed before the patient is aged 18 years. Approximately half of all children diagnosed with asthma have a decrease or disappearance of symptoms by early adulthood.
"What is the asthma mortality rate, and what factors contribute to asthma-related death?","International asthma mortality is reported as high as 0.86 deaths per 100,000 persons in some countries. US asthma mortality rates in 2009 were reported at 1 death per 100,000 persons. Mortality is primarily related to lung function, with an 8-fold increase in patients in the lowest quartile, but mortality has also been linked with asthma management failure, especially in young persons. Other factors that impact mortality include age older than 40 years, cigarette smoking more than 20 pack-years, blood eosinophilia, forced expiratory volume in one second (FEV1) of 40-69% predicted, and greater reversibility."
What is the average annual cost of asthma due to lost productivity and healthcare expenditures?,"The estimate of lost work and school time from asthma is approximately 100 million days of restricted activity. Approximately 500,000 annual hospitalizations (40.6% in individuals aged 18 y or younger) are due to asthma. Each year, an estimated 1.7 million people (47.8% of them aged 18 years or younger) require treatment in an emergency department. For 2010, the annual expenditures for health and lost productivity due to asthma was projected to be $20.7 billion."
What percentage of children diagnosed with asthma will require less or no treatment by early adulthood?,"Nearly one half of children diagnosed with asthma will have a decrease in symptoms and require less treatment by late adolescence or early adulthood. In a study of 900 children with asthma, 6% required no treatment after 1 year, and 39% only required intermittent treatment."
"
What are the negative outcomes of poorly controlled asthma?","Patients with poorly controlled asthma develop long-term changes over time (i.e., with airway remodeling). This can lead to chronic symptoms and a significant irreversible component to their disease. Many patients who develop asthma at an older age also tend to have chronic symptoms."
What are the key elements of patient education about asthma?,"The need for patient education about asthma and the establishment of a partnership between patient and clinician in the management of the disease was emphasized by EPR-3.

The key points of education include the following:

1. Patient education should be integrated into every aspect of asthma care

2. All members of the healthcare team, including nurses, pharmacists, and respiratory therapists, should provide education.

3. Clinicians should teach patients asthma self-management based on basic asthma facts, self-monitoring techniques, the role of medications, inhaler use, and environmental control measures. 

4.Treatment goals should be developed for the patient and family.

5. A written, individualized, daily self-management plan should be developed.

6. Several well-validated asthma action plans are now available and are key in the management of asthma and should therefore be reviewed: ACT (Asthma Control Test), ATAQ (Asthma Therapy Assessment Questionnaire), and ACQ (Asthma Control Questionnaire). "
What effect does school-based asthma education have on the course of asthma in children?,"School-based asthma education programs improved knowledge of asthma, self-efficacy, and self-management behaviors in children aged 4-17 years, according to a systematic literature review by Coffman et al, but the programs had less effect on quality of life, days of symptoms, nights with symptoms, and school absences"
Who should be provided with patient education for asthma?,The 2009 Veterans Administration/Department of Defense (VA/DoD) clinical practice guideline for management of asthma in children and adults concurs with EPR-3 in recommending self-management education for both the patient and caregiver as part of the treatment program.
What are the key elements of a thorough assessment in suspected or diagnosed asthma?,"A detailed assessment of the medical history should address the following:

Whether symptoms are attributable to asthma

Whether findings support the likelihood of asthma (eg, family history)

Asthma severity

Identification of possible precipitating factors

Family history may be pertinent for asthma, allergy, sinusitis, rhinitis, eczema, and nasal polyps. The social history may include home characteristics, smoking, workplace or school characteristics, educational level, employment, social support, factors that may contribute to nonadherence of asthma medications, and illicit drug use.

The patient’s exacerbation history is important with respect to the following:

Usual prodromal signs or symptoms

Rapidity of onset

Associated illnesses

Number in the last year

Need for emergency department visits, hospitalizations, ICU admissions, intubations

Missed days from work or school or activity limitation

The patient’s perception of his or her asthma is important regarding knowledge of asthma and treatment, use of medications, coping mechanisms, family support, and economic resources."
What is the role of wheezing in the assessment of asthma?,"Wheezing, a musical, high-pitched, whistling sound produced by airflow turbulence, is one of the most common symptoms. In the mildest form, wheezing is only end expiratory. As severity increases, the wheeze lasts throughout expiration. In a more severe asthmatic episode, wheezing is also present during inspiration. During a most severe episode, wheezing may be absent because of the severe limitation of airflow associated with airway narrowing and respiratory muscle fatigue.

Asthma can occur without wheezing when obstruction involves predominantly the small airways. Thus, wheezing is not necessary for the diagnosis of asthma. Furthermore, wheezing can be associated with other causes of airway obstruction, such as cystic fibrosis and heart failure. Patients with vocal cord dysfunction, now referred to as inducible laryngeal obstruction (ILO), have a predominantly inspiratory monophonic wheeze (different from the polyphonic wheeze in asthma), which is heard best over the laryngeal area in the neck. Patients with excessive dynamic airway collapse (EDAC), bronchomalacia, or tracheomalacia also have an expiratory monophonic wheeze heard over the large airways. In exercise-induced bronchoconstriction, wheezing may be present after exercise, and in nocturnal asthma, wheezing is present during the night."
"
What is the role of coughing in the assessment of asthma?","Cough may be the only symptom of asthma, especially in cases of exercise-induced or nocturnal asthma. Usually, the cough is nonproductive and nonparoxysmal. Children with nocturnal asthma tend to cough after midnight and during the early hours of morning. Chest tightness or a history of tightness or pain in the chest may be present with or without other symptoms of asthma, especially in exercise-induced or nocturnal asthma."
Which chronic or recurrent conditions in children are associated with asthma?,"Other nonspecific symptoms in infants or young children may be a history of recurrent bronchitis, bronchiolitis, or pneumonia; a persistent cough with colds; and/or recurrent croup or chest rattling. Most children with chronic or recurrent bronchitis have asthma. Asthma is also the most common underlying diagnosis in children with recurrent pneumonia; older children may have a history of chest tightness and/or recurrent chest congestion."
What are the typical symptoms of exercise-induced bronchoconstriction (EIB) (exercise-induced asthma [EIA])?,"In patients with exercise-induced bronchoconstriction, the clinical history findings are typical of asthma but are associated only with exercise. Typical symptoms include cough, wheezing, shortness of breath, and chest pain or tightness. Some individuals also may report sore throat or GI upset. Initially, airway dilation is noted during exercise. If exercise continues beyond approximately 10 minutes, bronchoconstriction supervenes, resulting in asthma symptoms. If the exercise period is shorter, symptoms may develop up to 5-10 minutes after completion of exercise. Higher intensity levels of exercise result in a more intense attack, with running producing more symptoms than walking."
Which findings are essential to a diagnosis of asthma?,"Patients may note asthma symptoms are related to seasonal changes or the ambient temperature and humidity in the environment in which a patient exercises. Other triggers may be pollutants (eg, sulfur, nitrous oxide, ozone) or upper respiratory tract infections. Cold, dry air generally provokes more obstruction than warm, humid air. Consequently, many athletes have good exercise tolerance in sports such as swimming. A prospective longitudinal study in Britain found that swimming was associated with increased lung function and lower risk of asthma-related symptoms, especially among children with respiratory conditions. 

Athletes who are more physically fit may not notice the typical asthma symptoms and may report only a reduced or more limited level of endurance. Several modifiers in the history should prompt an evaluation for causes other than exercise-induced bronchoconstriction. While patients may report typical obstructive symptoms, a history of a choking sensation with exercise, inspiratory wheezing, or stridor should prompt an evaluation for evidence of vocal cord dysfunction."
How are the different severities of acute asthma episodes classified?,"Acute episodes can be mild, moderately severe, severe, or characterized by imminent respiratory arrest."
Which physical findings are associated with an acute asthma episode?,"During a mild episode, patients may be breathless after physical activity such as walking; they can talk in sentences and lie down; and they may be agitated. Patients with mild acute asthma are able to lie flat. In a mild episode, the respiratory rate is increased, and accessory muscles of respiration are not used. The heart rate is less than 100 bpm, and pulsus paradoxus (an exaggerated fall in systolic blood pressure during inspiration) is not present. Auscultation of the chest reveals moderate wheezing, which is often end expiratory. Rapid forced expiration may elicit wheezing that is otherwise inaudible, and oxyhemoglobin saturation with room air is greater than 95%."
Which physical findings are associated with a moderately severe asthma episode?,"In a moderately severe episode, the respiratory rate also is increased. Typically, accessory muscles of respiration are used. In children, also look for supraclavicular and intercostal retractions and nasal flaring, as well as abdominal breathing. The heart rate is 100-120 bpm. Loud expiratory wheezing can be heard, and pulsus paradoxus may be present (10-20 mm Hg). Oxyhemoglobin saturation with room air is 91-95%. Patients experiencing a moderately severe episode are breathless while talking, and infants have feeding difficulties and a softer, shorter cry. In more severe cases, the patient assumes a sitting position."
Which physical findings are associated with a severe asthma episode?,"In a severe episode, patients are breathless during rest, are not interested in eating, sit upright, talk in words rather than sentences, and are usually agitated. In a severe episode, the respiratory rate is often greater than 30 per minute. Accessory muscles of respiration are usually used, and suprasternal retractions are commonly present. The heart rate is more than 120 bpm. Loud biphasic (expiratory and inspiratory) wheezing can be heard, and pulsus paradoxus is often present (20-40 mm Hg). Oxyhemoglobin saturation with room air is less than 91%. As the severity increases, the patient increasingly assumes a hunched-over sitting position with the hands supporting the torso, termed the tripod position.
"
Which physical findings are associated with a child in imminent respiratory arrest?,"When children are in imminent respiratory arrest, in addition to the aforementioned symptoms, they are drowsy and confused, but adolescents may not have these symptoms until they are in frank respiratory failure. In status asthmaticus with imminent respiratory arrest, paradoxical thoracoabdominal movement occurs. Wheezing may be absent (associated with most severe airway obstruction), and severe hypoxemia may manifest as bradycardia. Pulsus paradoxus noted earlier may be absent; this finding suggests respiratory muscle fatigue.

As the episode becomes more severe, profuse diaphoresis occurs, with the diaphoresis presenting concomitantly with a rise in PCO2 and hypoventilation. In the most severe form of acute asthma, patients may struggle for air, act confused and agitated, and pull off their oxygen, stating, ""I can’t breathe."" These are signs of life-threatening hypoxia. With advanced hypercarbia, bradypnea, somnolence, and profuse diaphoresis may be present; almost no breath sounds may be heard; and the patient is willing to lie recumbent."
Which respiratory and dermatologic findings may be seen between acute episodes of asthma?,"Signs of atopy or allergic rhinitis, such as conjunctival congestion and inflammation, ocular shiners, a transverse crease on the nose due to constant rubbing associated with allergic rhinitis, and pale violaceous nasal mucosa due to allergic rhinitis, may be present in the absence of an acute episode, such as during an outpatient visit between acute episodes. Turbinates may be erythematous or boggy. Polyps may be present.

Skin examination may reveal atopic dermatitis, eczema, or other manifestations of allergic skin conditions. Clubbing of the fingers is not a feature of asthma and indicates a need for more extensive evaluation and workup to exclude other conditions, such as cystic fibrosis."
Which nocturnal symptoms are associated with asthma?,"A large percentage of patients with asthma experience nocturnal symptoms once or twice a month. Some patients only experience symptoms at night and have normal pulmonary function in the daytime. This is due, in part, to the exaggerated response to the normal circadian variation in airflow. Children with nocturnal asthma tend to cough after midnight and during the early hours of morning."
When is bronchoconstriction most common in asthma?,Bronchoconstriction is highest between the hours of 4:00 am and 6:00 am (the highest morbidity and mortality from asthma is observed during this time). These patients may have a more significant decrease in cortisol levels or increased vagal tone at night. Studies also show an increase in inflammation compared with controls and with patients with daytime asthma.
How is the severity of asthma classified?,"Asthma severity is defined as ""the intensity of the disease process"" prior to initiating therapy and helps in determining the initiation of therapy in a patient who is not on any controller medications. [1]

The severity of asthma is classified as the following:

Intermittent,

Mild persistent

Moderate persistent

Severe persistent"
Which characteristics of asthma are required to diagnose severe asthma?,"Patients with asthma of any level of severity may have mild, moderate, or severe exacerbations. Some patients with intermittent asthma have severe and life-threatening exacerbations separated by episodes with almost normal lung function and minimal symptoms; however, they are likely to have other evidence of increased bronchial hyperresponsiveness (BHR; exercise or challenge testing) due to ongoing inflammation.

An important point to remember is that the presence of one severe feature is sufficient to diagnose severe persistent asthma. Also, the characteristics in this classification system are general and may overlap because asthma severity varies widely. A patient’s classification may change over time."
"What is vocal cord dysfunction, and what is its relationship to asthma?","Vocal cord dysfunction may exist alone or with asthma, it is caused by paradoxical adduction of the vocal cords during inspiration, and may disappear with panting, speech, or laughing. Patients with chronic symptoms suggestive of asthma, normal spirometry, poor response to asthma medications, and frequent evaluations should be evaluated for vocal cord dysfunction.  Usually, the diagnosis can be made using direct laryngoscopy, but only during symptomatic periods or after exercise. The presence of flattening of the inspiratory limb of the flow-volume loop may also suggest vocal cord dysfunction, but this is only seen in 28% of patients at baseline. "
What are the similarities of airway tumors and asthma?,"A variety of airway tumors are reported to manifest with symptoms similar to those of asthma. These tumors include endobronchial carcinoid and mucoepidermoid tumors, as shown in the images below. In one case, a 14-year-old boy with hyperlucency in the left lung was ultimately found to have a bronchial carcinoid in the left mainstem bronchus. Other tracheal lesions can include bronchocentric granulomatosis, subglottic stenosis, subglottic web, tracheal hamartoma, bronchogenic cysts, leiomyoma, and tracheobronchopathia osteoplastica. All these types of tracheal lesions have been reported with symptoms similar to asthma."
