Question,Context,Label
Which medicine can control my asthma?,"You will probably take more medicine when you begin treatment to get control of your asthma. Work with your doctor to learn which medicine(s) control your asthma best and how much you need. Once your asthma is well-controlled, your doctor may be able to reduce the amount of medicine you take. The goal is to gain control of your asthma as soon as possible and then control it with as little medicine as possible. Once long-term anti-inflammatory therapy begins, your doctor should monitor you every one to six months. This is to see how your asthma medicines are working and if your asthma is well controlled.",
How I can avoid asthma trigger?,"Many people wake up with asthma symptoms such as coughing or wheezing. You can control nighttime symptoms by taking asthma medicines as directed by your doctor. Removing triggers where you sleep may help you sleep better. Many people are allergic to dust mites and mold found in bedding materials. Using mattress or pillow encasements can help contain those allergens. Dehumidifiers can also be helpful to reduce the humidity in your home that dust mites and mold need to exist. Using air cleaners in your bedroom may also help reduce your exposure to allergens and irritants (animal dander, dust mites, air pollution, etc.).",
What should I do before I work out?,"Exercising, particularly in cold air, may cause airway swelling or exercise-induced bronchoconstriction (EIB). Quick-relief asthma medicines, taken before exercise, usually control this. If you need repeated doses of quick-relief medicine during and after exercise talk with your doctor. Your medicines may need to be adjusted. Thanks to these medicines, many Olympic and professional athletes have successful sports careers even with their asthma. It is important for everyone, including people with asthma, to be as active as possible for good health. Talk with your doctor about how you can be physically active while keeping your asthma well-controlled.",
What should I do if I feel uncomfortable after taking the pills?,All medicines have side effects. Tell your doctor how you are responding to the treatment and if you have any side effects. Follow up often with your doctor so you can control your asthma with the least amount of medicines and with the fewest side effects.,
What I can do if reliever and preventer inhalers can't help?,"If using reliever and preventer inhalers does not control your asthma, you may need an inhaler that combines both. Combination inhalers are used every day to help stop symptoms occurring and provide long-lasting relief if they do occur. It's important to use it regularly, even if you do not have symptoms. Side effects of combination inhalers are similar to those of reliever and preventer inhalers.",
What's the treatment to deal with severe asthma?,"A procedure called bronchial thermoplasty may be offered as a treatment for severe asthma. It works well and there are no serious concerns about its safety. You will be sedated or put to sleep using a general anaesthetic during a bronchial thermoplasty. It involves passing a thin, flexible tube down your throat and into your lungs. Heat is then used on the muscles around the airways to help stop them narrowing and causing asthma symptoms.",
It seems I got work-related asthma. What should I do now?,"If you seem to have occupational asthma, where your asthma is linked to your job, you'll be referred to a specialist to confirm the diagnosis. If your employer has an occupational health service, they should also be informed, along with your health and safety officer. Your employer has a responsibility to protect you from the causes of occupational asthma.",
When should I see a doctor?,"If you’re using rescue inhalers (or quick-relief inhalers) more than 2 days a week, see your doctor. ",
Are there some long-term control medicines very effective?,"Inhaled corticosteroids are the most effective long-term control medicines. These aren’t the same as anabolic steroids that people use to grow muscle. They include beclomethasone (Qvar RediHaler), budesonide (Pulmicort Flexhaler), ciclesonide (Alvesco), fluticasone (Flovent HFA), and mometasone (Asmanex Twisthaler).",
,"Inhaled long-acting beta-agonists open your airways by relaxing the smooth muscles around them. You’ll take this medication along with an inhaled corticosteroid. They include formoterol, salmeterol, and vilanterol.",
,"Combination inhaled medicines have an inhaled corticosteroid along with a long-acting beta-agonist. This is an easy way to take them together. They include Advair, Breo, Dulera, and Symbicort.",
,"Biologics target a cell or protein in your body to prevent airway inflammation. They may be shots or infusions you get every few weeks. They can be expensive, so you usually get them if other medications don’t work. Biologics include benralizumab (Fasenra), dupilumab (Dupixent), mepolizumab (Nucala), omalizumab (Xolair), and reslizumab (Cinqair).",
,"Leukotriene modifiers relax the smooth muscles around your airways and ease swelling. You can take them as pills or liquids. These include montelukast (Singulair), zafirlukast (Accolate), and zileuton (Zyflo).",
,Cromolyn prevents your airways from swelling when they come into contact with an asthma trigger. It’s a non-steroid medicine that comes in an inhaler.,
,"Theophylline (Theo-24, Theo-Dur) relaxes the smooth muscles that narrow your airways. It comes as a tablet, capsule, solution, or syrup.",
,Tezepelumab-ekko (Tezspire) injection is a first-in-class medicine indicated for the add-on maintenance treatment of adult and pediatric patients aged 12 years and older.,
,Long-acting bronchodilators. You might use tiotropium (Spiriva) along with corticosteroids if you have ongoing asthma symptoms even though you take a daily inhaled steroid. Never use long-acting bronchodilators alone as a long-term asthma treatment.,
,"Corticosteroids. If no other medicine can get your asthma attacks under control, your doctor might have you take these medications for a couple of weeks. They come in pills or liquids.",
,"If you’re having trouble using small inhalers, your doctor may recommend a nebulizer. This machine changes asthma medications from a liquid to a mist so it’s easier to get the medicine into your lungs. It also has a mouthpiece or mask that makes it a good option for infants, small children, older adults, or anyone who has trouble using inhalers with spacers. It takes a few more minutes to use than an inhaler.",
,"Many medications have side effects. For example, inhaled steroids can cause mild problems, such as thrush infections and a sore throat, or more serious ones including eye disorders and bone loss. Keep your doctor up to date with how well your treatment is working and whether you have side effects. They’ll work with you to keep your asthma under control with as little medicine as possible.",
,"Medications aren’t the only way to control asthma. Your doctor might also try a condition called bronchial thermoplasty. People with asthma often have extra smooth muscle in their airway walls. In this procedure, your doctor uses a small tube called a bronchoscope to send heat to the walls and reduce the smooth muscle. You’ll get the treatment over three visits about 2 or 3 weeks apart.",
,Breathing exercises. These can lower the amount of medication you need to control your symptoms.,
,"Caffeine. It’s a mild bronchodilator, meaning it can open your airways, but it doesn’t work as fast as medications. Avoid caffeine for several hours before any medical appointment that might include a lung function test.",
,"If you’ve been diagnosed with asthma but your treatment doesn’t seem to work anymore, it’s time to see your doctor again. Likewise, if you’re having to use your rescue inhaler too often, see your doctor. You may need to change your asthma treatment for better control. Though asthma is common, it’s a serious condition that needs a diagnosis and treatment. Talk to your doctor for asthma support, and find the medications that work best for you.",
,"Treatment focuses on a person keeping their chronic symptoms in check and avoiding triggers while receiving quick relief during severe flare-ups. Doctors call a flare-up of asthma symptoms an asthma attack, and the treatment they prescribe tries to limit further attacks and reduce the need for rapid medication.
Also, treatment aims to restore and maintain a person’s lung function, activity levels, and sleep patterns. As the disease has a variety of causes and people of all ages can have it, most individuals will have a different action plan and course of treatment. In this article, we explore the management options for asthma.",
,"Typically, people should attend asthma consultations every 2 to 6 weeks after first receiving a diagnosis. However, using a peak flow meter at home to monitor the progress of their treatment can help them manage the disease in between doctor’s visits. A peak flow meter is a simple, handheld tool that can help a person maintain control of their asthma by allowing them to measure the effectiveness of air movement from their lungs. The meter reveals a “peak flow” number after a person blows into the device. A doctor will indicate how often a person should use the test, how to interpret the results, and how to judge how much medication they need to take. The doctor may request that a person either records their scores every morning or uses the peak flow meter intermittently. The monitoring aims to find and maintain a “personal best”peak flow number by recording the scores for 2 to 3 weeks after diagnosis. The personal best score will dictate the dosage and delivery method of medications. By comparing future scores with the individual’s best score, a doctor can measure whether their treatment is working. Peak flow can also warn of an oncoming asthma attack before symptoms are apparent.",
,"A person is applying treatment effectively if the following apply:
1. coughing and breathlessness occurs on no more than 2 days per week
2. They need quick-relief medicines on fewer than 2 days per week
3. they are maintaining good lung function
4. their activity levels remaining normal
5. asthma symptoms are waking them from sleep on fewer than 1 to 2 nights per month
6. they do not need emergency medical treatment
7. they are experiencing one or fewer asthma attacks per year that require corticosteroid treatment
8. peak flow is staying higher than 80 percent of the personal best
Good control also means people need to be avoiding asthma triggers and allergens as well.",
,"The primary forms of quick-relief asthma medications are beta2-agonists, a class of drugs that includes:
1. metaproterenol
2. epinephrine, available in EpiPen and EpiPen Jr., Adrenalin, and Epinephrine Mist
3. albuterol, under brand names that include Ventolin HFA, Proventil, and Proair
4. levalbuterol, available as Xopenex
Most asthma medication is available in the form of a powder or mist for oral administration with an inhaler. An inhaler is a device that “mists” the medicine, promoting more efficient and direct delivery to the lungs. Asthma medicines can sometimes take the form of a pill, as well.",
,"A person with asthma should use these drugs daily to reduce flare-ups and ongoing symptoms. The most effective drugs for long-term asthma control are known as inhaled corticosteroids. These provide inflammation relief and reduce a person’s sensitivity to allergens and triggers. However, the medicines do have side effects, such as thrush that causes a fungal infection of the mouth. When corticosteroids reach the mouth or throat, the risk of thrush increases. Manufacturers of inhaler devices have developed spacers or holding chambers to help prevent thrush. Rinsing the mouth after inhalation can have a similar protective effect. Inhaled corticosteroids also increase the risk of cataracts and osteoporosis when a person takes them for a long time. Doctors may prescribe the following medicines on a long-term basis for people with asthma:
1. anti-inflammatory drugs, including cromolyn, which the person takes using a nebulizer
2. immunomodulators, including omalizumab, which a doctor will administer once or twice a month by injection to help reduce reactions to asthma triggers, such as pollen and dust mites
3. inhaled long-acting beta2-agonists, which open the airways and may feature alongside corticosteroids in the medication plan of a person with asthma
4. leukotriene modifiers for blocking the inflammation reaction in the airways
5. theophylline, an oral medication that opens the airways
People should use a quick-relief inhaler for no more than 2 days a week. Most people carry the quick-relief inhaler with them at all times and administer the medication when they first notice symptoms.
Usually, quick-relief medicines do not reduce inflammation, so a person should avoid using them for long-term control of their condition.",
,"While researchers have explored nonmedical remedies for asthma symptoms, no research is currently available to confirm the effectiveness of anything other than conventional treatment for managing asthma. Nonmedical treatments, as yet unconfirmed, include acupuncture, breathing exercises, and placebo medications. Also, complementary techniques and supplements can interact with conventional medications with potentially harmful effects. They are not a replacement for conventional, medically supervised management of asthma.",
,"If you feel fatigue, you may need to take Modafinils, Vitamin B Complex and Multivitamins.",
,"If you feel stressed, you may need to listen to music or take aromatherapy and individual therapy.",
,"If you feel painful, you may need to take Tramadol, Hydrocodone-Acetaminophen, Ibuprofen.",
,"If you feel anxious, you may need to take Clonazepam, Alprazolam, Lorazepam.",
,"If you feel depressed, you may need to take SertralineDuloxetineFluoxetine.",
What should I do if my heart beat so fast?,"If you heart beats faster than normal, you may need to take Atenolol, Metoprolol and Metoprolol Succinate ER.",
What is asthma?,"Asthma is a chronic, long-term disease that causes inflammation and blockage of a person’s airways. While no cure exists, many measures are available that can help people control the condition and improve their quality of life.",
Could you please tell me what is Asthma?,"Asthma, also called bronchial asthma, is a disease that affects your lungs. It’s a chronic (ongoing) condition, meaning it doesn’t go away and needs ongoing medical management. Asthma affects more than 25 million people in the U.S. currently. This total includes more than 5 million children. Asthma can be life-threatening if you don’t get treatment.",
What is asthma attack? What could happen in asthma attack?,"When you breathe normally, muscles around your airways are relaxed, letting air move easily and quietly. During an asthma attack, three things can happen:

Bronchospasm: The muscles around the airways constrict (tighten). When they tighten, it makes your airways narrow. Air cannot flow freely through constricted airways.
Inflammation: The lining of your airways becomes swollen. Swollen airways don’t let as much air in or out of your lungs.
Mucus production: During the attack, your body creates more mucus. This thick mucus clogs airways.
When your airways get tighter, you make a sound called wheezing when you breathe, a noise your airways make when you breathe out. You might also hear an asthma attack called an exacerbation or a flare-up. It’s the term for when your asthma isn’t controlled.",
Who can get asthma?,Anyone can develop asthma at any age. People with allergies or people exposed to tobacco smoke are more likely to develop asthma. This includes secondhand smoke (exposure to someone else who is smoking) and thirdhand smoke (exposure to clothing or surfaces in places where some has smoked). Statistics show that people assigned female at birth tend to have asthma more than people assigned male at birth. Asthma affects Black people more frequently than other races.,
What causes asthma?,"Researchers don’t know why some people have asthma while others don’t. But certain factors present a higher risk:Allergies: Having allergies can raise your risk of developing asthma. Environmental factors: People can develop asthma after exposure to things that irritate the airways. These substances include allergens, toxins, fumes and second- or third-hand smoke. These can be especially harmful to infants and young children whose immune systems haven’t finished developing. Genetics: If your family has a history of asthma or allergic diseases, you have a higher risk of developing the disease. Respiratory infections: Certain respiratory infections, such as respiratory syncytial virus (RSV), can damage young children’s developing lungs.",
What are common asthma attack triggers?,"You can have an asthma attack if you come in contact with substances that irritate you. Healthcare providers call these substances “triggers.” Knowing what triggers your asthma makes it easier to avoid asthma attacks. For some people, a trigger can bring on an attack right away. For other people, or at other times, an attack may start hours or days later. Triggers can be different for each person. But some common triggers include: Air pollution: Many things outside can cause an asthma attack. Air pollution includes factory emissions, car exhaust, wildfire smoke and more. Dust mites: You can’t see these bugs, but they are in our homes. If you have a dust mite allergy, this can cause an asthma attack. Exercise: For some people, exercising can cause an attack. Mold: Damp places can spawn mold, which can cause problems if you have asthma. You don’t even have to be allergic to mold to have an attack. Pests: Cockroaches, mice and other household pests can cause asthma attacks.
Pets: Your pets can cause asthma attacks. If you’re allergic to pet dander (dried skin flakes), breathing in the dander can irritate your airways. Tobacco smoke: If you or someone in your home smokes, you have a higher risk of developing asthma. You should never smoke in enclosed places like the car or home, and the best solution is to quit smoking. Your provider can help. Strong chemicals or smells. These things can trigger attacks in some people. Certain occupational exposures. You can be exposed to many things at your job, including cleaning products, dust from flour or wood, or other chemicals. These can all be triggers if you have asthma.",
What are the signs and symptoms of asthma?,"People with asthma usually have obvious symptoms. These signs and symptoms resemble many respiratory infections: Chest tightness, pain or pressure. Coughing (especially at night). Shortness of breath. Wheezing. With asthma, you may not have all of these symptoms with every flare. You can have different symptoms and signs at different times with chronic asthma. Also, symptoms can change between asthma attacks.",
How do healthcare providers diagnose asthma?,"Your healthcare provider will review your medical history, including information about your parents and siblings. Your provider will also ask you about your symptoms. Your provider will need to know any history of allergies, eczema (a bumpy rash caused by allergies) and other lung diseases. Your provider may order spirometry. This test measures airflow through your lungs and is used to diagnose and monitor your progress with treatment. Your healthcare provider may order a chest X-ray, blood test or skin test.",
What asthma treatment options are there?,"You have options to help manage your asthma. Your healthcare provider may prescribe medications to control symptoms. These include: Bronchodilators: These medicines relax the muscles around your airways. The relaxed muscles let the airways move air. They also let mucus move more easily through the airways. These medicines relieve your symptoms when they happen and are used for intermittent and chronic asthma. Anti-inflammatory medicines: These medicines reduce swelling and mucus production in your airways. They make it easier for air to enter and exit your lungs. Your healthcare provider may prescribe them to take every day to control or prevent your symptoms of chronic asthma.
Biologic therapies for asthma: These are used for severe asthma when symptoms persist despite proper inhaler therapy.
You can take asthma medicines in several different ways. You may breathe in the medicines using a metered-dose inhaler, nebulizer or another type of asthma inhaler. Your healthcare provider may prescribe oral medications that you swallow.",
What is asthma control?,The goal of asthma treatment is to control symptoms. Asthma control means you: Can do the things you want to do at work and home. Have no (or minimal) asthma symptoms. Rarely need to use your reliever medicine (rescue inhaler). Sleep without asthma interrupting your rest.,
How do you monitor asthma symptoms?,You should keep track of your asthma symptom. It’s an important piece of managing the disease. Your healthcare provider may ask to use a peak flow (PF) meter. This device measures how fast you can blow air out of your lungs. It can help your provider make adjustments to your medication. It also tells you if your symptoms are getting worse.,
How can I prevent an asthma attack?,"If your healthcare provider says you have asthma, you’ll need to figure out what triggers an attack. Avoiding the triggers can help you avoid an attack. You can’t prevent yourself from getting asthma, though.",
What’s the outlook for someone with asthma?,"If you have asthma, you can still live a very productive life and participate in sports and other activities. Your healthcare provider can help you manage symptoms, learn your triggers and prevent or manage attacks.",
What is an asthma action plan?,Your healthcare provider will work with you to develop an asthma action plan. This plan tells you how and when to use your medicines. It also tells you what to do based on your asthma symptoms and when to seek emergency care. Ask your healthcare provider about anything you don’t understand.,
What should I do if I have a severe asthma attack?,"If you have a severe asthma attack, you need to get immediate medical care. The first thing you should do is use your rescue inhaler. A rescue inhaler uses fast-acting medicines to open up your airways. It’s different than a maintenance inhaler, which you use every day. You should use the rescue inhaler when symptoms are bothering you and you can use it more frequently if your flare is severe. If your rescue inhaler doesn’t help or you don’t have it with you, go to the emergency department if you have:
Anxiety or panic.
Bluish fingernails, bluish lips (in light-skinned people) or gray or whitish lips or gums (in dark-skinned people).
Chest pain or pressure.
Coughing that won’t stop or severe wheezing when you breathe.
Difficulty talking.
Pale, sweaty face.
Very quick or rapid breathing.",
What should I go for a doctor?,"Contact your doctor
See your doctor:
If you think you have asthma. If you have frequent coughing or wheezing that lasts more than a few days or any other signs or symptoms of asthma, see your doctor. Treating asthma early may prevent long-term lung damage and help keep the condition from getting worse over time.
To monitor your asthma after diagnosis. If you know you have asthma, work with your doctor to keep it under control. Good long-term control helps you feel better from day to day and can prevent a life-threatening asthma attack.
If your asthma symptoms get worse. Contact your doctor right away if your medication doesn't seem to ease your symptoms or if you need to use your quick-relief inhaler more often.

Don't take more medication than prescribed without consulting your doctor first. Overusing asthma medication can cause side effects and may make your asthma worse.

To review your treatment. Asthma often changes over time. Meet with your doctor regularly to discuss your symptoms and make any needed treatment adjustments.",
Could you let me know what is asthma?,"Asthma is a long-term inflammatory disease of the airways of the lungs.[3] It is characterized by variable and recurring symptoms, reversible airflow obstruction, and easily triggered bronchospasms.[9][10] Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath.[2] These may occur a few times a day or a few times per week.[3] Depending on the person, asthma symptoms may become worse at night or with exercise.[3]

Asthma is thought to be caused by a combination of genetic and environmental factors.[4] Environmental factors include exposure to air pollution and allergens.[3] Other potential triggers include medications such as aspirin and beta blockers.[3] Diagnosis is usually based on the pattern of symptoms, response to therapy over time, and spirometry lung function testing.[5] Asthma is classified according to the frequency of symptoms, forced expiratory volume in one second (FEV1), and peak expiratory flow rate.[11] It may also be classified as atopic or non-atopic, where atopy refers to a predisposition toward developing a type 1 hypersensitivity reaction.[12][13]

There is no known cure for asthma, but it is easily treatable.[3] Symptoms can be prevented by avoiding triggers, such as allergens and respiratory irritants, and suppressed with the use of inhaled corticosteroids.[6][14] Long-acting beta agonists (LABA) or antileukotriene agents may be used in addition to inhaled corticosteroids if asthma symptoms remain uncontrolled.[15][16] Treatment of rapidly worsening symptoms is usually with an inhaled short-acting beta-2 agonist such as salbutamol and corticosteroids taken by mouth.[7] In very severe cases, intravenous corticosteroids, magnesium sulfate, and hospitalization may be required.[17]

In 2019 asthma affected approximately 262 million people and caused approximately 461,000 deaths.[8] Most of the deaths occurred in the developing world.[3] Asthma often begins in childhood,[3] and the rates have increased significantly since the 1960s.[18] Asthma was recognized as early as Ancient Egypt.[19] The word ""asthma"" is from the Greek ἄσθμα, ásthma, which means ""panting"".[20]",
Is there any cure for asthma?,"Asthma is a long-term inflammatory disease of the airways of the lungs.[3] It is characterized by variable and recurring symptoms, reversible airflow obstruction, and easily triggered bronchospasms.[9][10] Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath.[2] These may occur a few times a day or a few times per week.[3] Depending on the person, asthma symptoms may become worse at night or with exercise.[3]

Asthma is thought to be caused by a combination of genetic and environmental factors.[4] Environmental factors include exposure to air pollution and allergens.[3] Other potential triggers include medications such as aspirin and beta blockers.[3] Diagnosis is usually based on the pattern of symptoms, response to therapy over time, and spirometry lung function testing.[5] Asthma is classified according to the frequency of symptoms, forced expiratory volume in one second (FEV1), and peak expiratory flow rate.[11] It may also be classified as atopic or non-atopic, where atopy refers to a predisposition toward developing a type 1 hypersensitivity reaction.[12][13]

There is no known cure for asthma, but it is easily treatable.[3] Symptoms can be prevented by avoiding triggers, such as allergens and respiratory irritants, and suppressed with the use of inhaled corticosteroids.[6][14] Long-acting beta agonists (LABA) or antileukotriene agents may be used in addition to inhaled corticosteroids if asthma symptoms remain uncontrolled.[15][16] Treatment of rapidly worsening symptoms is usually with an inhaled short-acting beta-2 agonist such as salbutamol and corticosteroids taken by mouth.[7] In very severe cases, intravenous corticosteroids, magnesium sulfate, and hospitalization may be required.[17]

In 2019 asthma affected approximately 262 million people and caused approximately 461,000 deaths.[8] Most of the deaths occurred in the developing world.[3] Asthma often begins in childhood,[3] and the rates have increased significantly since the 1960s.[18] Asthma was recognized as early as Ancient Egypt.[19] The word ""asthma"" is from the Greek ἄσθμα, ásthma, which means ""panting"".[20]",
How many people have been affected by asthma?,"Asthma is a long-term inflammatory disease of the airways of the lungs.[3] It is characterized by variable and recurring symptoms, reversible airflow obstruction, and easily triggered bronchospasms.[9][10] Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath.[2] These may occur a few times a day or a few times per week.[3] Depending on the person, asthma symptoms may become worse at night or with exercise.[3]

Asthma is thought to be caused by a combination of genetic and environmental factors.[4] Environmental factors include exposure to air pollution and allergens.[3] Other potential triggers include medications such as aspirin and beta blockers.[3] Diagnosis is usually based on the pattern of symptoms, response to therapy over time, and spirometry lung function testing.[5] Asthma is classified according to the frequency of symptoms, forced expiratory volume in one second (FEV1), and peak expiratory flow rate.[11] It may also be classified as atopic or non-atopic, where atopy refers to a predisposition toward developing a type 1 hypersensitivity reaction.[12][13]

There is no known cure for asthma, but it is easily treatable.[3] Symptoms can be prevented by avoiding triggers, such as allergens and respiratory irritants, and suppressed with the use of inhaled corticosteroids.[6][14] Long-acting beta agonists (LABA) or antileukotriene agents may be used in addition to inhaled corticosteroids if asthma symptoms remain uncontrolled.[15][16] Treatment of rapidly worsening symptoms is usually with an inhaled short-acting beta-2 agonist such as salbutamol and corticosteroids taken by mouth.[7] In very severe cases, intravenous corticosteroids, magnesium sulfate, and hospitalization may be required.[17]

In 2019 asthma affected approximately 262 million people and caused approximately 461,000 deaths.[8] Most of the deaths occurred in the developing world.[3] Asthma often begins in childhood,[3] and the rates have increased significantly since the 1960s.[18] Asthma was recognized as early as Ancient Egypt.[19] The word ""asthma"" is from the Greek ἄσθμα, ásthma, which means ""panting"".[20]",
What's the sign of asthma?,"Asthma is characterized by recurrent episodes of wheezing, shortness of breath, chest tightness, and coughing.[21] Sputum may be produced from the lung by coughing but is often hard to bring up.[22] During recovery from an asthma attack (exacerbation), it may appear pus-like due to high levels of white blood cells called eosinophils.[23] Symptoms are usually worse at night and in the early morning or in response to exercise or cold air.[24] Some people with asthma rarely experience symptoms, usually in response to triggers, whereas others may react frequently and readily and experience persistent symptoms.[25]

Associated conditions
A number of other health conditions occur more frequently in people with asthma, including gastroesophageal reflux disease (GERD), rhinosinusitis, and obstructive sleep apnea.[26] Psychological disorders are also more common,[27] with anxiety disorders occurring in between 16 and 52% and mood disorders in 14–41%.[28] It is not known whether asthma causes psychological problems or psychological problems lead to asthma.[29] Current asthma, but not former asthma, is associated with increased all-cause mortality, heart disease mortality, and chronic lower respiratory tract disease mortality.[30] Asthma, particularly severe asthma, is strongly associated with development of chronic obstructive pulmonary disease (COPD).[31][32][33] Those with asthma, especially if it is poorly controlled, are at increased risk for radiocontrast reactions.[34]

Cavities occur more often in people with asthma.[35] This may be related to the effect of beta 2 agonists decreasing saliva.[36] These medications may also increase the risk of dental erosions.[36]",
How do you know if do or don’t have asthma?,You’ll need to see a healthcare provider to find out if you have asthma or some other condition. There are other respiratory diseases that make it hard to breathe or cause coughing and wheezing.,
Why is my asthma worse at night?,"Asthma that gets worse at night is sometimes called nighttime asthma or nocturnal asthma. There are no definite reasons that this happens, but there are some educated guesses. These include:

The way you sleep: Sleeping on your back can result in mucus dripping into your throat or acid reflux coming back up from your stomach. Also, sleeping on your back puts pressure on your chest and lungs, which makes breathing more difficult. However, lying face down or on your side can put pressure on your lungs.
Triggers in your bedroom and triggers that happen in the evening: You may find your blankets, sheets and pillows have dust mites, mold or pet hair on them. If you’ve been outside in the early evening, you may have brought pollen in with you.
Medication side effects: Some drugs that treat asthma, such as steroids and montelukast, can affect your sleep.
Air that’s too hot or too cold: Hot air can cause airways to narrow when you breathe in. Cold air is an asthma trigger for some people.
Lung function changes: Lung function lessens at night as a natural process.
Asthma is poorly controlled during the day: Symptoms that aren’t controlled during the day won’t be better at night. It’s important to work with your provider to make sure your asthma symptoms are controlled both day and night. Treating nighttime symptoms is very important. Serious asthma attacks, and sometimes deaths, can happen at night.",
What should I know about COVID-19 and asthma?,"If you have asthma that is moderate-to-severe, or if your asthma symptoms aren’t well controlled, you’re at greater risk of having to be hospitalized if you get COVID-19. Therefore, you should wear a mask if you go to indoor spaces with other people, get vaccinated and avoid exposure to people who have the virus.",
,"Common asthma signs and symptoms in children ages 5 to 11 include:

Coughing, particularly at night
Wheezing
Difficulty breathing
Chest pain, tightness or discomfort
Avoiding or losing interest in sports or physical activities
Some children have few day-to-day symptoms, but have severe asthma attacks now and then. Other children have mild symptoms or symptoms that get worse at certain times. You may notice that your child's asthma symptoms get worse at night, with activity, when your child has a cold, or with triggers such as cigarette smoke or seasonal allergies.",
,"Risk factors
A number of factors are thought to increase your chances of developing asthma. They include:

Having a blood relative with asthma, such as a parent or sibling
Having another allergic condition, such as atopic dermatitis — which causes red, itchy skin — or hay fever — which causes a runny nose, congestion and itchy eyes
Being overweight
Being a smoker
Exposure to secondhand smoke
Exposure to exhaust fumes or other types of pollution
Exposure to occupational triggers, such as chemicals used in farming, hairdressing and manufacturing",
,"Severe asthma attacks can be life-threatening and require a trip to the emergency room. Signs and symptoms of an asthma emergency in children ages 5 to 11 include:

Significant trouble breathing
Persistent coughing or wheezing
No improvement even after using a quick-relief inhaler, such as albuterol (ProAir HFA, Ventolin HFA, others)
Being unable to speak without gasping
Peak flow meter readings in the red zone",
